order_id,user_id,product_id,category,old_name,price,base_price,amount,status,region,priority,city,transaction_date
100001,1625.0,59692,Books,Product_288,560.37,527.21,527.21,Cancelled,North,Medium,Dehradun,2025-01-27
100002,8147.0,21483,Books,Product_194,1811.10,1752.36,3504.72,Completed,South,High,Chennai,2025-06-11
100003,1347.0,48247,Sports,Product_294,4251.13,4536.45,9072.9,Shipped,West,Medium,Mumbai,2025-08-29
100004,9635.0,84031,Home,Product_7,2176.28,1782.96,3565.92,Shipped,North,Low,Dehradun,2025-09-20
100005,3973.0,20827,Sports,Product_337,2830.71,2650.98,13254.9,Cancelled,West,High,Jaipur,2025-06-21
100006,6506.0,12137,Clothing,Product_301,5269.77,4431.19,17724.76,Completed,East,Low,Guwahati,2025-07-06
100007,1978.0,93728,Home,Product_254,5298.70,4988.01,24940.05,Pending,North,Low,Dehradun,2025-09-05
100008,3207.0,69813,Clothing,Product_11,5346.52,4960.59,19842.36,Cancelled,South,Medium,Chennai,2025-12-17
100009,6817.0,21637,Electronics,Product_222,2887.58,3207.92,16039.6,Completed,East,Low,Guwahati,2025-07-13
100010,6485.0,64273,Home,Product_13,249.81,242.77,971.08,Pending,North,Medium,Lucknow,2025-02-02
100011,7344.0,80455,Home,Product_75,4044.37,3376.93,3376.93,Cancelled,South,Medium,Hyderabad,2025-07-08
100012,2016.0,27827,Sports,Product_343,3033.75,2633.81,13169.05,Completed,South,Medium,Hyderabad,2025-08-19
100013,9467.0,77465,Books,Product_71,2663.99,2202.14,4404.28,Cancelled,West,Low,Ahmedabad,2025-02-23
100014,4985.0,36643,Home,Product_136,4639.17,4477.82,13433.46,Shipped,East,High,Patna,2025-09-14
100015,4783.0,21154,Books,Product_163,3098.53,2575.14,2575.14,Completed,North,Medium,Chandigarh,2025-10-11
100016,5208.0,85752,Sports,Product_175,4321.61,3951.79,15807.16,Shipped,South,High,Chennai,2025-09-14
100017,6626.0,86627,Electronics,Product_354,5474.78,4501.51,22507.55,Completed,South,Medium,Bengaluru,2025-08-24
100018,4153.0,33681,Sports,Product_413,1623.99,1645.98,6583.92,Completed,East,Medium,Guwahati,2025-07-12
