order_id,customer_id,order_date,status,region_code
1,320,2025-07-16 17:43:39,RETURNED,158840
2,460,2025-06-03 22:24:42,DELIVERED,471658
3,847,2026-03-19 21:02:03,PLACED,999636
4,369,2025-03-28 18:41:52,DELIVERED,279708
5,501,2025-05-15 12:23:29,RETURNED,693343
6,360,2024-12-18 08:54:29,PLACED,355021
7,665,2025-01-26 23:32:56,DELIVERED,954814
8,399,2025-11-23 14:53:58,SHIPPED,986392
9,648,2025-04-28 12:17:34,SHIPPED,321686
10,33,2024-10-08 09:46:11,CANCELLED,933551
11,530,2026-04-16 16:57:58,DELIVERED,692447
12,14,2025-08-18 18:51:12,RETURNED,817269
13,766,2025-11-22 09:05:16,RETURNED,198042
14,977,2026-03-06 06:24:05,RETURNED,781463
15,886,2026-06-17 01:39:29,CANCELLED,321686
16,411,2024-10-20 02:06:33,SHIPPED,199994
17,517,2024-09-30 07:41:55,PLACED,109909
18,777,2024-09-06 03:58:44,DELIVERED,380310
19,494,2025-01-02 12:31:37,PLACED,495490
20,55,2024-12-30 20:21:25,SHIPPED,933551
21,445,2025-04-06 16:56:54,DELIVERED,554987
22,279,2025-03-18 07:54:44,RETURNED,554987
23,248,2026-03-27 22:56:17,CANCELLED,825916
24,309,2025-12-21 12:19:53,DELIVERED,954814
25,868,2025-02-25 16:37:44,DELIVERED,679549
26,632,2026-01-06 15:50:09,CANCELLED,414546
27,595,2026-08-08 05:13:47,DELIVERED,186702
28,398,2026-08-08 12:24:25,CANCELLED,495490
29,691,2026-02-09 19:16:18,SHIPPED,999636
30,581,2026-01-31 15:02:05,RETURNED,693343
31,460,2026-06-06 16:18:02,CANCELLED,516176
32,8,2024-08-15 10:27:35,RETURNED,184532
33,295,2025-03-15 23:05:06,SHIPPED,653815
34,178,2026-04-01 21:10:19,PLACED,516176
35,650,2026-03-04 06:16:36,DELIVERED,581294
36,416,2025-05-31 04:16:16,CANCELLED,653815
37,859,2025-06-01 14:24:39,SHIPPED,340927
38,675,2025-10-06 20:19:09,CANCELLED,999908
39,640,2025-11-30 21:24:08,DELIVERED,182857
40,515,2025-07-19 23:47:43,PLACED,364679
41,891,2025-08-18 16:19:43,DELIVERED,679549
42,451,2026-02-16 05:08:57,DELIVERED,321686
43,603,2024-11-26 05:58:24,DELIVERED,182857
44,940,2025-05-26 13:43:11,SHIPPED,516176
45,244,2025-01-21 23:12:39,SHIPPED,495490
46,604,2026-02-07 10:21:34,CANCELLED,186702
47,543,2025-07-21 18:28:18,RETURNED,109909
48,350,2025-08-21 00:03:01,CANCELLED,182857
49,149,2026-03-06 08:10:41,PLACED,516176
50,455,2026-02-13 15:06:03,DELIVERED,186702
51,420,2026-01-18 23:33:09,PLACED,554987
52,15,2025-07-12 05:54:40,RETURNED,999908
53,110,2026-03-10 16:19:11,CANCELLED,364679
54,810,2025-03-25 21:31:32,DELIVERED,497687
55,200,2024-12-24 10:05:01,CANCELLED,825916
56,763,2026-02-22 18:24:58,PLACED,144618
57,223,2026-01-01 00:49:09,RETURNED,817269
58,366,2025-01-09 07:11:14,RETURNED,836986
59,743,2025-07-03 21:32:24,SHIPPED,999636
60,281,2025-09-21 03:16:10,CANCELLED,692447
61,503,2025-05-09 21:54:41,SHIPPED,989053
62,332,2025-10-05 01:26:56,DELIVERED,989053
63,975,2024-11-10 22:56:32,CANCELLED,581294
64,635,2026-06-29 07:16:39,PLACED,692447
65,783,2024-08-16 06:34:24,CANCELLED,989053
66,306,2026-03-24 04:24:58,CANCELLED,785491
67,157,2026-04-10 15:22:32,CANCELLED,933551
68,967,2025-04-14 10:26:54,DELIVERED,968286
69,704,2025-06-11 09:08:15,SHIPPED,144618
70,973,2025-12-23 03:18:44,CANCELLED,554987
71,522,2025-05-30 20:30:53,RETURNED,831105
72,819,2026-02-28 23:39:01,CANCELLED,182857
73,187,2025-09-05 21:51:48,SHIPPED,785491
74,83,2025-04-04 09:31:03,PLACED,524965
75,106,2024-08-26 04:16:40,DELIVERED,776234
76,108,2026-03-05 21:21:51,CANCELLED,781463
77,908,2026-06-13 19:26:14,CANCELLED,781463
78,54,2024-11-29 11:17:20,CANCELLED,447362
79,32,2026-07-06 02:01:56,RETURNED,525750
80,60,2025-04-07 10:38:30,DELIVERED,999908
81,323,2025-11-12 06:53:18,RETURNED,199994
82,44,2025-10-23 16:24:12,SHIPPED,158840
83,697,2025-10-27 05:09:33,DELIVERED,355021
84,341,2026-05-04 11:42:26,CANCELLED,999908
85,966,2026-07-26 04:45:18,DELIVERED,340927
86,856,2025-01-05 08:51:55,CANCELLED,624139
87,725,2025-05-21 13:17:36,SHIPPED,999908
88,471,2025-09-03 15:16:49,CANCELLED,989053
89,66,2024-12-24 18:42:40,CANCELLED,133223
90,912,2024-10-27 13:26:36,PLACED,624139
91,107,2025-09-29 05:18:42,SHIPPED,986392
