order_id,customer_id,order_date,status,region_code
1,320.0,2025-07-16 17:43:39,RETURNED,158840
2,460.0,2025-06-03 22:24:42,DELIVERED,471658
3,847.0,2026-03-19 21:02:03,PLACED,999636
4,369.0,2025-03-28 18:41:52,DELIVERED,279708
5,501.0,2025-05-15 12:23:29,RETURNED,693343
6,360.0,18-12-2024 08:54:29,PLACED,355021
7,665.0,2025-01-26 23:32:56,DELIVERED,954814
8,399.0,2025-11-23 14:53:58,SHIPPED,986392
9,648.0,28-04-2025 12:17:34,SHIPPED,321686
10,33.0,2024-10-08 09:46:11,CANCELLED,933551
11,530.0,2026-04-16 16:57:58,DELIVERED,692447
12,14.0,2025-08-18 18:51:12,RETURNED,817269
13,766.0,2025-11-22 09:05:16,RETURNED,198042
14,977.0,2026-03-06 06:24:05,RETURNED,781463
15,886.0,2026-06-17 01:39:29,CANCELLED,321686
16,411.0,2024-10-20 02:06:33,SHIPPED,199994
17,517.0,2024-09-30 07:41:55,PLACED,109909
18,777.0,2024-09-06 03:58:44,DELIVERED,380310
19,494.0,2025-01-02 12:31:37,PLACED,495490
20,55.0,2024-12-30 20:21:25,SHIPPED,933551
21,445.0,2025-04-06 16:56:54,DELIVERED,554987
22,279.0,2025-03-18 07:54:44,RETURNED,554987
23,248.0,2026-03-27 22:56:17,CANCELLED,825916
24,309.0,2025-12-21 12:19:53,DELIVERED,954814
25,868.0,2025-02-25 16:37:44,DELIVERED,679549
26,632.0,06-01-2026 15:50:09,CANCELLED,414546
27,595.0,2026-08-08 05:13:47,DELIVERED,186702
28,398.0,2026-08-08 12:24:25,CANCELLED,495490
29,691.0,2026-02-09 19:16:18,SHIPPED,999636
30,581.0,2026-01-31 15:02:05,RETURNED,693343
31,460.0,2026-06-06 16:18:02,CANCELLED,516176
32,8.0,2024-08-15 10:27:35,RETURNED,184532
33,295.0,2025-03-15 23:05:06,SHIPPED,653815
34,178.0,2026-04-01 21:10:19,PLACED,516176
35,650.0,2026-03-04 06:16:36,DELIVERED,581294
36,416.0,2025-05-31 04:16:16,CANCELLED,653815
37,859.0,2025-06-01 14:24:39,SHIPPED,340927
38,675.0,2025-10-06 20:19:09,CANCELLED,999908
39,,2025-11-30 21:24:08,DELIVERED,182857
40,515.0,2025-07-19 23:47:43,PLACED,364679
41,,2025-08-18 16:19:43,DELIVERED,679549
42,451.0,2026-02-16 05:08:57,DELIVERED,321686
43,603.0,2024-11-26 05:58:24,DELIVERED,182857
44,940.0,26-05-2025 13:43:11,SHIPPED,516176
45,244.0,2025-01-21 23:12:39,SHIPPED,495490
46,604.0,2026-02-07 10:21:34,CANCELLED,186702
47,543.0,2025-07-21 18:28:18,RETURNED,109909
48,350.0,2025-08-21 00:03:01,CANCELLED,182857
49,149.0,2026-03-06 08:10:41,PLACED,516176
50,455.0,2026-02-13 15:06:03,DELIVERED,186702
51,420.0,18-01-2026 23:33:09,PLACED,554987
52,15.0,2025-07-12 05:54:40,RETURNED,999908
53,110.0,2026-03-10 16:19:11,CANCELLED,364679
54,810.0,2025-03-25 21:31:32,DELIVERED,497687
55,200.0,2024-12-24 10:05:01,CANCELLED,825916
56,763.0,2026-02-22 18:24:58,PLACED,144618
57,223.0,2026-01-01 00:49:09,RETURNED,817269
58,366.0,2025-01-09 07:11:14,RETURNED,836986
59,743.0,2025-07-03 21:32:24,SHIPPED,999636
60,281.0,2025-09-21 03:16:10,CANCELLED,692447
61,503.0,2025-05-09 21:54:41,SHIPPED,989053
62,332.0,2025-10-05 01:26:56,DELIVERED,989053
63,975.0,2024-11-10 22:56:32,CANCELLED,581294
64,635.0,2026-06-29 07:16:39,PLACED,692447
65,783.0,2024-08-16 06:34:24,CANCELLED,989053
66,306.0,2026-03-24 04:24:58,CANCELLED,785491
67,157.0,2026-04-10 15:22:32,CANCELLED,933551
68,967.0,2025-04-14 10:26:54,DELIVERED,968286
69,704.0,2025-06-11 09:08:15,SHIPPED,144618
70,973.0,2025-12-23 03:18:44,CANCELLED,554987
71,522.0,30-05-2025 20:30:53,RETURNED,831105
72,819.0,2026-02-28 23:39:01,CANCELLED,182857
73,187.0,2025-09-05 21:51:48,SHIPPED,785491
74,83.0,2025-04-04 09:31:03,PLACED,524965
75,106.0,2024-08-26 04:16:40,DELIVERED,776234
76,108.0,2026-03-05 21:21:51,CANCELLED,781463
77,908.0,2026-06-13 19:26:14,CANCELLED,781463
78,54.0,2024-11-29 11:17:20,CANCELLED,447362
79,,2026-07-06 02:01:56,RETURNED,525750
80,60.0,2025-04-07 10:38:30,DELIVERED,999908
81,323.0,2025-11-12 06:53:18,RETURNED,199994
82,44.0,2025-10-23 16:24:12,SHIPPED,158840
83,697.0,27-10-2025 05:09:33,DELIVERED,355021
84,341.0,2026-05-04 11:42:26,CANCELLED,999908
85,966.0,2026-07-26 04:45:18,DELIVERED,340927
86,,2025-01-05 08:51:55,CANCELLED,624139
87,725.0,2025-05-21 13:17:36,SHIPPED,999908
88,471.0,2025-09-03 15:16:49,CANCELLED,989053
89,66.0,2024-12-24 18:42:40,CANCELLED,133223
90,,2024-10-27 13:26:36,PLACED,624139
91,107.0,2025-09-29 05:18:42,SHIPPED,986392
92,646.0,2025-07-05 00:56:55,RETURNED,355021
93,324.0,2026-05-24 19:04:00,RETURNED,954814
94,30.0,2024-10-16 07:30:48,CANCELLED,653815
95,467.0,2024-10-24 09:36:59,SHIPPED,679549
96,906.0,2025-09-17 02:08:39,DELIVERED,199994
97,936.0,2024-09-01 14:53:37,PLACED,497687
98,612.0,2025-12-25 12:29:44,CANCELLED,525750
99,423.0,2025-08-01 02:58:56,DELIVERED,817269
100,830.0,2024-12-23 13:50:39,DELIVERED,693343
101,671.0,2024-09-28 23:07:53,SHIPPED,653815
102,450.0,2026-07-13 15:36:22,CANCELLED,198042
103,439.0,2025-03-04 12:36:08,PLACED,679549
104,399.0,2025-01-26 10:23:00,RETURNED,158840
105,19.0,2025-12-04 00:06:38,RETURNED,524965
106,798.0,2024-09-29 07:41:37,RETURNED,109909
107,490.0,2024-09-20 04:05:22,CANCELLED,279708
108,,2025-08-22 23:29:47,PLACED,133223
109,161.0,2024-12-12 17:12:50,RETURNED,554987
110,988.0,2026-04-29 04:49:28,PLACED,182857
111,455.0,05-06-2025 07:52:12,SHIPPED,693343
112,159.0,2024-12-01 21:55:05,DELIVERED,692447
113,32.0,2024-10-29 02:21:28,RETURNED,471658
114,874.0,2025-09-05 01:41:05,RETURNED,447362
115,349.0,2025-07-24 13:19:03,CANCELLED,321686
116,353.0,2024-09-28 10:22:04,DELIVERED,495490
117,676.0,2026-07-07 21:08:45,PLACED,364679
118,555.0,03-05-2026 13:52:33,PLACED,968286
119,376.0,2024-11-12 02:45:30,SHIPPED,109909
120,782.0,2025-01-06 10:40:42,RETURNED,186702
121,289.0,2025-06-20 21:58:58,RETURNED,199994
122,102.0,2026-01-09 14:28:12,RETURNED,414546
123,968.0,2025-07-22 00:27:48,CANCELLED,133223
124,12.0,2025-10-24 04:47:32,CANCELLED,599127
125,908.0,2026-06-26 05:38:58,RETURNED,199994
126,629.0,2025-10-12 08:28:29,RETURNED,581294
127,880.0,2025-08-11 05:59:56,DELIVERED,954814
128,459.0,2025-12-22 11:03:46,CANCELLED,182857
129,415.0,2025-02-26 09:44:49,DELIVERED,497687
130,824.0,2024-08-14 15:20:26,PLACED,491172
131,82.0,2024-11-21 10:27:19,SHIPPED,896483
132,358.0,2024-09-24 22:20:24,DELIVERED,781463
133,488.0,2025-05-27 20:04:40,CANCELLED,336828
134,,2026-03-22 02:42:16,RETURNED,158840
135,56.0,28-08-2025 07:54:42,DELIVERED,158840
136,,2026-06-05 03:50:06,PLACED,679549
137,997.0,2026-05-13 11:15:03,CANCELLED,999908
138,299.0,2025-07-11 08:56:00,PLACED,785491
139,310.0,2025-10-04 01:19:51,PLACED,653815
140,124.0,2026-01-29 18:40:29,PLACED,954814
141,949.0,2025-03-07 12:22:45,DELIVERED,447362
142,630.0,2026-05-14 18:00:47,PLACED,999636
143,396.0,2025-07-08 12:35:48,SHIPPED,340927
144,225.0,2026-01-02 18:27:41,SHIPPED,836986
145,903.0,2026-01-11 01:07:04,SHIPPED,186702
146,372.0,2025-03-14 11:34:34,SHIPPED,781463
147,,2025-10-31 00:09:07,RETURNED,495490
148,719.0,2026-03-23 21:06:43,CANCELLED,414546
149,12.0,2024-12-15 03:04:41,CANCELLED,922478
150,819.0,2025-02-07 04:33:36,SHIPPED,355021
151,776.0,2026-05-28 14:35:44,CANCELLED,524965
152,66.0,26-01-2026 19:43:44,PLACED,340927
153,665.0,2025-07-09 15:16:17,RETURNED,831105
154,652.0,2026-06-05 13:08:12,CANCELLED,986392
155,120.0,2024-12-21 04:54:20,CANCELLED,198042
156,255.0,2025-09-28 13:32:16,PLACED,653815
157,572.0,2025-05-23 16:24:03,SHIPPED,336828
158,133.0,2026-07-01 00:11:05,DELIVERED,321686
159,805.0,2025-01-31 07:04:12,PLACED,624139
160,1000.0,2026-05-07 02:43:49,PLACED,279708
161,817.0,2025-02-25 04:33:44,SHIPPED,133223
162,375.0,2025-11-11 00:06:04,DELIVERED,831105
163,644.0,2025-03-10 10:06:58,CANCELLED,491172
164,825.0,2026-06-09 12:54:55,DELIVERED,693343
165,478.0,2026-01-01 02:37:12,CANCELLED,836986
166,113.0,2026-01-18 21:46:57,DELIVERED,554987
167,119.0,2025-01-14 21:39:22,CANCELLED,776234
168,986.0,2025-08-04 16:26:07,CANCELLED,986392
169,176.0,2026-08-04 02:56:53,PLACED,896483
170,754.0,2025-09-17 00:41:28,DELIVERED,599127
171,861.0,2026-08-06 06:15:25,RETURNED,355021
172,453.0,2024-10-04 02:35:56,DELIVERED,776234
173,169.0,2024-10-25 01:35:40,RETURNED,516176
174,189.0,2026-02-20 03:26:35,SHIPPED,999908
175,,2025-04-04 08:21:13,PLACED,817269
176,69.0,2025-07-04 14:26:28,DELIVERED,491172
177,965.0,2025-02-09 20:13:51,SHIPPED,133223
178,8.0,2025-08-13 20:55:45,SHIPPED,109909
179,97.0,2025-07-12 19:20:47,CANCELLED,497687
180,432.0,01-10-2024 16:04:34,RETURNED,525750
181,372.0,29-12-2025 12:14:17,RETURNED,198042
182,868.0,2026-02-07 20:51:43,CANCELLED,355021
183,435.0,2025-05-14 15:05:04,CANCELLED,922478
184,878.0,2026-02-05 02:36:56,RETURNED,199994
185,462.0,2026-04-26 07:51:07,SHIPPED,186702
186,983.0,2025-05-25 23:09:07,SHIPPED,767678
187,372.0,2024-08-17 01:05:25,DELIVERED,525750
188,302.0,2024-10-31 23:24:37,SHIPPED,999908
189,356.0,2026-06-10 03:39:11,CANCELLED,776234
190,67.0,2025-04-05 03:35:23,PLACED,896483
191,647.0,2026-02-07 02:16:36,PLACED,767678
192,673.0,2025-07-29 07:24:51,SHIPPED,831105
193,837.0,2024-09-28 01:08:57,CANCELLED,186702
194,932.0,2025-09-13 19:38:02,RETURNED,447362
195,782.0,2025-02-02 04:37:23,CANCELLED,497687
196,553.0,2026-07-04 04:06:54,CANCELLED,497687
197,559.0,2024-11-19 15:44:40,CANCELLED,767678
198,555.0,2026-03-31 12:10:29,SHIPPED,516176
199,620.0,2026-04-15 22:43:06,RETURNED,954814
200,597.0,2024-12-11 19:32:03,SHIPPED,184532
201,36.0,2024-08-22 09:34:29,PLACED,989053
202,197.0,2024-10-21 15:01:51,SHIPPED,279708
203,344.0,2025-03-12 01:39:03,DELIVERED,692447
204,500.0,2025-09-03 18:08:32,CANCELLED,624139
