product_id,product_name,category,subcategory,cost_price
1,SQL Handbook,Books,Fiction,253.9
2,Laptop,Electronics,Laptop,59090.87
3,Monitor,Electronics,Laptop,52845.51
4,Sofa,Home,Furniture,18013.15
5,CRIcKet BaT,Sports,Fitness,1198.16
6,Keyboard,Electronics,Accessories,63491.13
7,Face Wash,Beauty,Cosmetics,1545.0
8,Lipstick,Beauty,Cosmetics,4278.68
9,Mixer,Home,Decor,26698.69
10,Basketball,Sports,Outdoor,3469.21
11,AI Basics,Books,Education,763.98
12,Smartphone,Electronics,Mobile,37578.36
13,T-Shirt,Clothing,Kids,1849.34
14,Tablet,Electronics,Audio,42582.22
15,Lamp,Home,Furniture,17548.6
16,Dress,Clothing,Men,1945.54
17,Perfume,Beauty,Hair Care,4055.38
18,Body Lotion,Beauty,Cosmetics,3084.08
19,  Lamp   ,Home,Decor,8561.48
20,  AI Basics   ,Books,Education,1317.81
21,Lipstick,Beauty,Cosmetics,4861.87
22,Mouse,Electronics,Camera,16162.22
23,Machine Learning,Books,Education,317.81
24,Perfume,Beauty,Skin Care,2479.74
25,Yoga Mat,Sports,Outdoor,3779.14
26,Speaker,Electronics,Accessories,22441.58
27,Perfume,Beauty,Skin Care,3860.01
28,AI Basics,Books,Education,702.92
29,Sweater,Clothing,Women,4216.76
30,aLGORIthms,Books,Programming,1221.85
31,Face Wash,Beauty,Hair Care,1292.25
32,Body Lotion,Beauty,Hair Care,3754.44
33,Kurta,Clothing,Women,835.93
34,Face Wash,Beauty,Skin Care,3262.67
35,T-Shirt,Clothing,Men,3131.28
36,Table,Home,Furniture,14186.62
37,Lipstick,Beauty,Cosmetics,3250.66
38,Face Wash,Beauty,Hair Care,2266.82
39,Machine Learning,Books,Education,534.57
40,Football,Sports,Indoor,6624.33
41,Camera,Electronics,Camera,79285.87
42,Mouse,Electronics,Audio,15510.68
43,Smartphone,Electronics,Audio,98247.37
44,  Keyboard   ,Electronics,Camera,70908.36
45,Dumbbells,Sports,Fitness,9220.4
46,Yoga Mat,Sports,Outdoor,6493.42
47,AI Basics,Books,Programming,497.81
48,Microwave,Home,Decor,17690.82
49,Jacket,Clothing,Women,2142.2
50,Perfume,Beauty,Cosmetics,3979.14
51,Dress,Clothing,Kids,3521.45
52,lIpStIck,Beauty,Skin Care,3961.79
53,  Body Lotion   ,Beauty,Cosmetics,1750.15
54,Body Lotion,Beauty,Skin Care,4173.59
55,  Lipstick   ,Beauty,Skin Care,1885.07
56,Sofa,Home,Furniture,23622.11
57,Jeans,Clothing,Kids,2504.37
58,Dress,Clothing,Women,2469.9
59,Machine Learning,Books,Business,1243.65
60,Face Wash,Beauty,Skin Care,1918.94
61,Smartphone,Electronics,Camera,27642.73
62,Lipstick,Beauty,Skin Care,4101.85
63,Algorithms,Books,Programming,430.09
64,  Mouse   ,Electronics,Accessories,93117.18
65,Lamp,Home,Decor,8962.94
66,Cricket Bat,Sports,Fitness,6345.81
67,Monitor,Electronics,Mobile,94052.48
68,Lipstick,Beauty,Cosmetics,1575.64
69,Camera,Electronics,Laptop,6749.31
70,  Dumbbells   ,Sports,Fitness,5396.07
71,jEaNS,Clothing,Kids,1994.84
72,Body Lotion,Beauty,Cosmetics,199.64
73,Tennis Racket,Sports,Indoor,7599.51
74,AI Basics,Books,Programming,245.13
75,Face Wash,Beauty,Cosmetics,1758.88
76,Mixer,Home,Furniture,19136.21
77,Dress,Clothing,Men,1679.18
78,Laptop,Electronics,Laptop,40123.29
79,  Face Wash   ,Beauty,Hair Care,3269.81
80,Python Guide,Books,Education,274.27
81,Algorithms,Books,Business,641.3
82,Dress,Clothing,Women,2740.6
83,Smartphone,Electronics,Audio,18455.42
84,Python Guide,Books,Education,529.09
85,Lipstick,Beauty,Cosmetics,2290.94
86,Microwave,Home,Kitchen,29410.8
87,Camera,Electronics,Mobile,68101.36
88,  Speaker   ,Electronics,Laptop,7189.72
89,Lamp,Home,Kitchen,18350.3
90,Lamp,Home,Kitchen,17430.69
91,Lipstick,Beauty,Hair Care,4806.55
92,Speaker,Electronics,Laptop,12217.22
93,SQL Handbook,Books,Business,1383.07
